,favorite_count,followers_count,friends_count,full_text,retweet_count,length
0,0,65,308,@zomatocare @ZomatoIN And Zomato is refunding 87₹ for an order value of 345₹ which was not delivered. Why ?,0,107
3,0,65,308,@ZomatoIN what kind of pathetic customer service is this. Order number 1203389227 https://t.co/zxY8Fv2SWE,0,105
4,0,111,292,@zomatocare @ZomatoIN Am done for now. Tired and sleepy. Call me after 3 pm tommorow. Will explain you in detail,0,112
8,0,111,292,Stupidity of @ZomatoIN customer support. They give credits for missing items and then say outlet gave full order. Wow. https://t.co/IoXaVcqJ1C,0,142
14,0,1012,907,That's savage. @ZomatoIN you should send a job offer to the @NetflixIndia Social Media Manager... https://t.co/YOrL6zZyaw,0,121
15,0,111,292,"Another order frm @ZomatoIN n another issue.
1. Had to take my activa n pick d order coz god knws what happened to riders phne.
https://t.co/LOcD5lIZTV fries. 
Practically half a meal.
Then offered rs50 credits to shut my mouth n wait more 4 fries

9911493929 check order details https://t.co/amJXtydosO",0,303
17,2,223,166,@Cashify_ @radhika_apte @NetflixIndia @ZomatoIN @KFC_India The life cycle of a troll is to troll the other trolls 😂😂😂😎😎😎 https://t.co/FVVzRdxCVY,0,144
21,0,805,1515,"@zomatocare @Zomato So, for starters...my any chat to your customer service isn't being delivered.....so either your app is dysfunctional or my internet is...but since i am able to tweet...this looks like the 1st case",0,217
29,0,4,30,@zomatocare @ZomatoIN @Zomato Your representatives are not even aware and make fake promises,0,92
30,0,4,30,@zomatocare @ZomatoIN @Zomato 1613627691 Is the current order which is late by 25mins,0,85
31,0,4,30,"@zomatocare @ZomatoIN @Zomato 1206058900 for this when I raised concern I was promised to give full refund in future,If delayed by 45min..",0,138
33,0,4,30,"One of your representatives gave me this info when I asked for a refund from dominos,And when it happened via Zomato they denied there is no such policy..Is this the way you deal with ur customers @ZomatoIN @Zomato https://t.co/IyQe0WdkvT",0,238
35,0,591,2271,"@theakki @Cashify_ @radhika_apte @NetflixIndia @ZomatoIN @KFC_India Netflix strategy.

Constant social media nuisance until &amp; beyond it's name gets hard wired into your brain.",0,179
36,0,995,152,"@Shahzadnaama @Zomato @ZomatoIN Hey Shahzad
Please share your order ID we will get back to you with a resolution.
Regards,
Team Burger Singh",0,140
40,0,0,0,"@ZomatoIN u guys deliverd from mahesh food corner  wrong order n what i got is rotten chicken mixed with rice insted of chicken meals and chicken curry roti .
do u think we can eat anything what u will send who will be responsible if will get some probllem.",0,257
43,0,30,171,"@zomatocare @ZomatoIN @SUBWAY I have talking with support and they are saying I can't get my money back.
This is all out fraud",0,126
44,1,101,245,@ghoshogulla @bizzybe86609380 @ZomatoIN what's so classy about blowing raspberries? aren't you a grown a** person? ;),0,117
47,1,19,89,@zomatocare @ZomatoIN You want details of order or contact number,0,65
48,0,30,171,"@ZomatoIN
My order no.1427975334 was not delivered.
I ordered a 12 inch sub and I got a 6 inch sub.
And subway is not keen on delivering full order.
I got duped by you and @SUBWAY.
What should I do?
Now I have no money and no food.",0,231
49,1,90,146,How to get #freefood from trick 1 #zomato  @Zomato @ZomatoIN https://t.co/3s6nWBvj7n,0,84
53,0,19,89,My whole party runied by you people @ZomatoIN,0,45
55,1,19,89,Not satisfied with service as well as customer service @ZomatoIN not expected this service from you people,0,106
56,0,84,545,@zomatocare @Zomato @ZomatoIN Done.,0,35
59,0,48,95,@subham_baradia7 @ZomatoIN @jagograhakjago @HMOIndia This was very much unexpected. Look into it ASAP @Zomato @ZomatoIN @consumerforum_,0,135
61,0,48,95,@ZomatoIN This was very much unexpected from your team. Look into it ASAP. @consumerforum_ @Zomato https://t.co/dIMEmHSC5a,0,122
66,0,201,162,"@ZomatoIN guys, how can you deliver the order just opposite the order placed.. and then your support team ended up with calling the restaurant... #madmomos #pune #zomatosucks #unsubscribingzomatogold",0,199
69,0,0,11,"@Prem4Singh @ZomatoIN @Zomato @swiggy_in Order 1050043174 ,@Zomato @ZomatoIN  lead me to a imbarasing situation and all the the customer service said , no help available , rubbish customer service don't have any manage working ,as i was told",0,241
71,1,4,25,"@zomatocare @Prakash34423879 @ZomatoIN @Zomato @swiggy_in I have left ordering from you already  , however it's not about me  it's about @Prakash34423879",0,153
77,0,111,292,Guys @ZomatoIN @BurgerSinghs not able to get meetha singh even when it states. Final order summary doesn't have it. https://t.co/xrAp8ebysQ,0,139
79,0,37,691,@bizzybe86609380 @srizzler @ZomatoIN I am really suspicious of your perception to my reply. But I am gonna leave it at that.,0,124
80,0,84,545,@zomatocare @Zomato @ZomatoIN Where should I send the details?,0,62
82,0,9,52,@zomatocare @deepigoyal Why do i need to provide the details and then wait so that you guys can call me. Instead provide us the option to call you so that we don't have to wait in that chat box where your executive don't even bother to reply customer promptly.,0,260
83,0,240,196,"hey @ZomatoIN, can you deliver Gulabjamun right now in Dehradun? 
I desperately wanna eat it.",0,93
84,0,0,9,@ZomatoIN @zomato i never expected this kind of service from swiggy. u betrayed us . the quality of food which i recieved today was worst from my side.(1048667269) mob number- 9631276784,0,186
86,0,12,146,@ZomatoIN my food just arrived like this. I ordered it from Zomato. https://t.co/CTMNtj8lUI,0,91
87,0,86,1315,@Reliance_MF @NetflixIndia @ZomatoIN @amfiindia @Social_Samosa @madovermarketin @AdAgeIn @ETBrandEquity @afaqs @e4mtweets @adage Ahhhhh ! This new chutiyapa is getting excess now,0,178
88,0,1,5,"@IM007sarthak @Zomato @zomatocare and they told me that there wasn't any offer of cashback
#Shame
#deletezomato",0,111
89,1,65,381,@Rocco16312664 @Zomato @zomatocare Yes I was also not given the credit and asked by Zomato to place another order then they will initiate credit of 100 to my account .,0,167
90,0,75,153,"@topradnya @Reliance_MF @NetflixIndia @ZomatoIN @amfiindia @Social_Samosa @madovermarketin @AdAgeIn @ETBrandEquity @afaqs @e4mtweets @adage Such creative, much wow",0,163
92,0,2,77,@foodpandaIndia - bad service. Not received my order yet but app shows all ready delivered. Tried emailing you'll and tried connecting through chat. No response received. Youll need to learn from @ZomatoIN for their prompt service.,0,231
96,0,5,52,"@zomatocare @Zomato @ZomatoIN @swiggy_in kalyug
I have asked you to improve your maths.
you are so weak with numbers instead of solving you removed offer
iski saza milegi barobar milegi
@Uber @UberINSupport @Uber_Support https://t.co/grL2bnRR1c",0,244
0,0,2,95,@Zomato @ConsumerReports @ComplaintsNG @ZomatoIN What are you all up to ....what is going on ....this is how you all make money by ripping customers...@pankajchaddah,0,165
2,0,26,558,"Can anyone tell me do that look like a rabdi falooda ?? I order through @ZomatoIN @Zomato and had few spoons but found 2 piece of some kinda WHITE CLAY. Now I am feeling SICK with stomuch, I contacted Zomato Care but they dont even care to check on my HEALTH. Pathetic service. https://t.co/3U7GGju1oK",0,301
5,0,7027,3477,My pizza delivered cold please take it back. And I hate you Zomato I was so hungry and now my mood is soiled too @ZomatoIN https://t.co/odgE1RGH6U,0,146
6,0,10,4,@zoo_bear @ZomatoIN India’s politicians have been eating everyone’s food for a very long time. But nobody gives a damn about that.,0,130
7,2,50,133,Listen to @ZomatoIN new policy - To #cheat it's customers.,0,58
8,0,50,133,@ZomatoIN calls my perfectly working #airtel number as unreachable and supports it's delivery guy for not delivering my food!! @Zomato is cheating it's good customer's on a whole new level.,0,189
9,1,50,133,Here's @Zomato @ZomatoIN new way of cheating people. They don't call us&amp; later say that we are unresponsive&amp; dont deliver food&amp;also take our money. Stop using #Zomato. Looks like @swiggy_in is better than them.. #Zomatodelivery #zomatofraud #boycottzomato https://t.co/vWNde3pKsZ,0,291
10,0,50,133,@zomatocare @ZomatoIN How is that my phone receives everything other call and not yours. Cannot be possible right ? You say the same thing in the email that you can't refund my money nor deliver my food. This is #cheating to a whole new level. And you call it #newpolicy?,0,271
13,5,50,133,"Hi all, I had shared my experience on Facebook on #BangaloreFoodiesClub abt my #zomato order on how I was outrightly cheated. Almost 30 guys had reported saying they had the same issue. Pls uninstall #zomato &amp; save ur money from fraudsters! 
@ZomatoIN @zomatocare",0,267
14,0,46,247,@zomatocare @Zomato @ZomatoIN  Do you people take 1 month to resolve any query? Oh no! You guys still couldn’t resolve it and process the same response everytime. Please be as fast as @swiggy_in in resolving and delivering!,0,223
15,0,50,133,@zomatocare @Zomato @ZomatoIN Why do you give #discounts to your customer and take back our money + food we ordered. Is this even fair on your part? Why do your delivery guys eat our food? #Zomatosucks,0,201
16,0,50,133,"@zomatocare @Zomato @ZomatoIN I've had enough chats with ur support and they're not ready to refund my money nor deliver food I ordered. They never called me at all &amp; when I called, delivery guy is already back to the restaurant to give back the food. Do u want us to trust this? #Zomatocheats #saynotoZomato https://t.co/8NyliSL48W",0,336
